pid,licencia
329,vehiculo de carga
302,auto
148,no es necesaria
246,no es necesaria
365,auto
390,auto
179,vehiculo de carga
327,no es necesaria
487,auto
606,auto
219,moto
514,moto
514,vehiculo de carga
763,auto
361,vehiculo de carga
400,auto
592,auto
479,no es necesaria
156,no es necesaria
25,auto
347,no es necesaria
579,auto
415,vehiculo de carga
460,auto
371,auto
484,no es necesaria
794,auto
617,no es necesaria
694,no es necesaria
722,no es necesaria
669,auto
632,auto
287,auto
283,auto
805,moto
199,auto
38,moto
815,auto
15,no es necesaria
655,no es necesaria
618,moto
695,auto
531,auto
177,auto
777,auto
665,no es necesaria
692,moto
415,no es necesaria
551,auto
23,auto
552,auto
478,moto
813,auto
58,vehiculo de carga
248,auto
646,vehiculo de carga
391,auto
695,vehiculo de carga
14,no es necesaria
591,auto
302,no es necesaria
58,moto
29,vehiculo de carga
251,auto
314,auto
711,auto
415,moto
276,vehiculo de carga
812,auto
617,auto
601,no es necesaria
210,moto
126,no es necesaria
488,moto
791,no es necesaria
160,auto
15,auto
509,moto
285,auto
553,moto
109,moto
389,moto
562,auto
460,no es necesaria
26,auto
71,auto
630,auto
368,no es necesaria
503,auto
460,moto
683,auto
240,auto
642,auto
174,auto
725,no es necesaria
633,moto
576,vehiculo de carga
534,auto
720,no es necesaria
221,auto
332,vehiculo de carga
502,auto
397,vehiculo de carga
357,no es necesaria
277,auto
728,auto
402,auto
804,no es necesaria
205,moto
1,auto
43,vehiculo de carga
167,vehiculo de carga
125,vehiculo de carga
75,no es necesaria
704,no es necesaria
86,moto
723,no es necesaria
603,moto
790,auto
58,no es necesaria
733,no es necesaria
706,moto
470,moto
192,auto
332,auto
262,auto
430,moto
818,moto
213,no es necesaria
760,moto
576,no es necesaria
254,auto
470,auto
436,auto
414,no es necesaria
445,vehiculo de carga
458,vehiculo de carga
539,no es necesaria
761,auto
762,no es necesaria
316,auto
233,auto
51,auto
236,auto
23,no es necesaria
379,moto
633,vehiculo de carga
328,auto
557,auto
245,auto
792,moto
127,vehiculo de carga
726,auto
95,moto
762,vehiculo de carga
288,no es necesaria
216,moto
329,no es necesaria
264,auto
556,vehiculo de carga
142,auto
738,auto
367,moto
250,moto
574,auto
733,auto
722,auto
687,auto
228,auto
778,auto
463,no es necesaria
425,auto
664,moto
213,moto
151,no es necesaria
144,auto
702,vehiculo de carga
379,no es necesaria
65,auto
680,auto
536,no es necesaria
410,vehiculo de carga
526,moto
351,auto
247,moto
372,auto
702,moto
425,moto
116,no es necesaria
759,auto
230,auto
137,no es necesaria
720,auto
661,auto
799,auto
512,auto
798,vehiculo de carga
75,moto
708,moto
73,moto
151,auto
300,auto
385,vehiculo de carga
165,vehiculo de carga
515,auto
783,moto
608,auto
378,auto
745,no es necesaria
61,auto
690,no es necesaria
718,no es necesaria
737,auto
200,moto
611,vehiculo de carga
459,auto
446,auto
694,moto
222,auto
245,no es necesaria
600,moto
396,moto
682,vehiculo de carga
416,auto
564,auto
474,auto
394,auto
628,vehiculo de carga
601,auto
104,auto
397,no es necesaria
687,no es necesaria
131,no es necesaria
606,moto
388,no es necesaria
785,no es necesaria
34,moto
448,vehiculo de carga
620,auto
720,moto
331,auto
335,no es necesaria
816,auto
548,auto
804,moto
772,vehiculo de carga
507,auto
512,moto
614,auto
242,moto
133,moto
146,auto
286,vehiculo de carga
556,no es necesaria
99,no es necesaria
704,vehiculo de carga
570,auto
395,auto
513,auto
505,no es necesaria
519,no es necesaria
378,no es necesaria
612,no es necesaria
520,auto
270,no es necesaria
267,no es necesaria
618,auto
67,moto
515,no es necesaria
560,no es necesaria
823,moto
559,auto
621,auto
412,auto
230,no es necesaria
488,vehiculo de carga
253,no es necesaria
681,no es necesaria
199,no es necesaria
239,moto
221,no es necesaria
321,moto
141,vehiculo de carga
129,auto
609,auto
731,moto
546,auto
801,auto
42,no es necesaria
568,moto
114,vehiculo de carga
376,no es necesaria
133,no es necesaria
4,moto
793,auto
55,auto
33,no es necesaria
672,no es necesaria
458,auto
756,auto
653,moto
317,auto
85,auto
355,no es necesaria
33,vehiculo de carga
661,no es necesaria
9,auto
557,no es necesaria
683,moto
584,moto
809,auto
262,moto
496,auto
703,auto
478,no es necesaria
346,no es necesaria
723,auto
268,no es necesaria
508,vehiculo de carga
375,moto
736,auto
334,no es necesaria
590,auto
452,vehiculo de carga
44,no es necesaria
128,auto
467,auto
619,auto
741,auto
309,moto
157,no es necesaria
603,no es necesaria
715,no es necesaria
760,auto
97,vehiculo de carga
561,moto
645,no es necesaria
172,no es necesaria
354,moto
304,moto
581,moto
584,vehiculo de carga
79,no es necesaria
791,moto
4,vehiculo de carga
214,auto
542,no es necesaria
39,no es necesaria
324,no es necesaria
800,no es necesaria
181,auto
475,vehiculo de carga
820,moto
543,vehiculo de carga
91,moto
612,auto
189,auto
363,auto
243,auto
582,auto
0,vehiculo de carga
567,no es necesaria
258,auto
809,vehiculo de carga
582,moto
267,auto
227,auto
818,no es necesaria
222,moto
123,vehiculo de carga
472,auto
367,auto
73,no es necesaria
103,moto
161,auto
797,auto
441,auto
333,moto
495,moto
228,no es necesaria
397,auto
119,auto
179,moto
803,auto
123,auto
642,vehiculo de carga
217,auto
275,moto
306,auto
682,auto
399,no es necesaria
680,no es necesaria
465,no es necesaria
628,no es necesaria
8,no es necesaria
354,auto
442,vehiculo de carga
550,auto
591,vehiculo de carga
816,moto
395,moto
224,vehiculo de carga
700,auto
590,no es necesaria
219,auto
530,auto
350,no es necesaria
608,no es necesaria
154,moto
6,vehiculo de carga
574,moto
29,auto
731,auto
140,no es necesaria
137,auto
701,auto
248,no es necesaria
554,auto
282,auto
43,auto
548,no es necesaria
390,moto
493,auto
253,auto
787,auto
188,auto
564,moto
595,moto
475,no es necesaria
236,no es necesaria
32,moto
174,no es necesaria
609,no es necesaria
233,moto
506,vehiculo de carga
441,no es necesaria
324,auto
633,no es necesaria
802,auto
602,auto
699,auto
369,no es necesaria
124,auto
100,moto
89,moto
678,auto
389,auto
153,no es necesaria
183,auto
483,auto
654,auto
599,moto
689,vehiculo de carga
667,moto
485,no es necesaria
476,auto
464,auto
437,vehiculo de carga
275,auto
224,auto
523,auto
63,auto
753,auto
421,auto
524,auto
657,moto
327,auto
787,vehiculo de carga
509,auto
584,auto
14,auto
148,auto
742,auto
692,auto
430,vehiculo de carga
12,moto
682,no es necesaria
576,auto
455,vehiculo de carga
276,no es necesaria
686,auto
628,moto
820,auto
658,auto
95,auto
40,moto
120,auto
378,moto
712,auto
699,no es necesaria
653,vehiculo de carga
635,auto
814,auto
523,no es necesaria
823,no es necesaria
187,moto
399,auto
537,auto
563,auto
814,vehiculo de carga
536,auto
411,no es necesaria
63,moto
276,moto
794,vehiculo de carga
258,vehiculo de carga
72,moto
289,no es necesaria
736,moto
445,moto
407,vehiculo de carga
556,auto
624,auto
700,vehiculo de carga
718,auto
560,auto
18,auto
156,auto
463,moto
595,no es necesaria
586,auto
763,no es necesaria
519,auto
703,vehiculo de carga
71,moto
116,moto
314,moto
706,auto
707,auto
65,moto
593,no es necesaria
146,vehiculo de carga
274,auto
388,auto
336,auto
745,moto
282,no es necesaria
654,moto
466,no es necesaria
238,moto
693,moto
133,vehiculo de carga
296,no es necesaria
381,no es necesaria
145,no es necesaria
605,no es necesaria
652,moto
145,vehiculo de carga
634,moto
543,auto
40,no es necesaria
488,auto
185,no es necesaria
733,vehiculo de carga
518,auto
615,moto
537,moto
790,moto
20,auto
342,vehiculo de carga
97,no es necesaria
328,vehiculo de carga
97,moto
710,vehiculo de carga
101,no es necesaria
518,no es necesaria
624,moto
578,moto
304,vehiculo de carga
655,auto
477,auto
424,moto
625,vehiculo de carga
742,moto
511,no es necesaria
410,moto
49,auto
614,vehiculo de carga
442,moto
372,vehiculo de carga
423,no es necesaria
206,no es necesaria
665,moto
412,moto
404,auto
52,no es necesaria
103,auto
513,moto
511,vehiculo de carga
363,no es necesaria
707,moto
257,auto
573,auto
311,auto
284,moto
462,auto
512,no es necesaria
699,vehiculo de carga
287,no es necesaria
37,no es necesaria
158,vehiculo de carga
194,auto
32,vehiculo de carga
654,no es necesaria
106,vehiculo de carga
643,vehiculo de carga
702,no es necesaria
640,no es necesaria
342,no es necesaria
298,no es necesaria
369,auto
429,vehiculo de carga
562,no es necesaria
542,vehiculo de carga
132,moto
104,moto
42,auto
716,vehiculo de carga
243,no es necesaria
526,auto
375,vehiculo de carga
673,no es necesaria
187,auto
511,auto
342,auto
262,no es necesaria
316,no es necesaria
265,no es necesaria
273,moto
783,auto
517,moto
384,auto
267,moto
240,moto
602,moto
490,auto
398,no es necesaria
658,no es necesaria
392,auto
381,auto
11,no es necesaria
573,moto
169,moto
731,no es necesaria
313,vehiculo de carga
95,vehiculo de carga
516,moto
780,auto
423,vehiculo de carga
172,moto
737,no es necesaria
497,moto
384,moto
220,no es necesaria
575,vehiculo de carga
191,auto
553,auto
690,moto
122,no es necesaria
300,no es necesaria
65,vehiculo de carga
698,no es necesaria
550,vehiculo de carga
116,auto
660,auto
84,auto
273,auto
313,auto
525,moto
168,no es necesaria
546,vehiculo de carga
38,auto
787,no es necesaria
615,auto
315,auto
259,no es necesaria
690,vehiculo de carga
296,moto
683,no es necesaria
136,vehiculo de carga
657,no es necesaria
506,moto
630,vehiculo de carga
409,moto
99,moto
291,vehiculo de carga
792,auto
799,moto
717,moto
575,moto
669,moto
366,auto
411,auto
130,moto
221,moto
243,moto
153,moto
815,vehiculo de carga
779,no es necesaria
154,no es necesaria
734,moto
432,moto
6,no es necesaria
761,vehiculo de carga
600,vehiculo de carga
153,auto
578,no es necesaria
636,no es necesaria
810,no es necesaria
563,vehiculo de carga
289,vehiculo de carga
207,auto
281,vehiculo de carga
96,auto
392,moto
591,no es necesaria
220,moto
118,auto
515,moto
497,vehiculo de carga
424,auto
705,no es necesaria
33,auto
812,moto
246,auto
323,no es necesaria
277,moto
644,auto
96,no es necesaria
641,vehiculo de carga
757,auto
154,auto
114,no es necesaria
115,no es necesaria
611,moto
291,auto
339,auto
691,no es necesaria
350,auto
523,moto
398,auto
264,moto
715,auto
216,vehiculo de carga
29,no es necesaria
811,no es necesaria
462,moto
75,vehiculo de carga
636,auto
110,auto
200,vehiculo de carga
444,auto
79,moto
133,auto
9,no es necesaria
118,vehiculo de carga
423,auto
741,moto
335,moto
477,vehiculo de carga
357,moto
28,moto
101,auto
381,moto
242,auto
687,moto
561,auto
660,vehiculo de carga
629,no es necesaria
355,auto
738,no es necesaria
497,auto
697,vehiculo de carga
441,vehiculo de carga
653,auto
144,no es necesaria
575,no es necesaria
442,auto
598,auto
575,auto
0,auto
192,no es necesaria
681,auto
734,no es necesaria
188,no es necesaria
167,auto
553,no es necesaria
437,no es necesaria
579,moto
465,auto
610,auto
592,no es necesaria
810,auto
741,no es necesaria
756,moto
601,moto
85,moto
20,no es necesaria
803,no es necesaria
707,no es necesaria
59,moto
506,auto
361,auto
640,auto
181,vehiculo de carga
130,auto
448,auto
780,moto
110,moto
757,moto
744,vehiculo de carga
617,moto
336,no es necesaria
12,no es necesaria
416,no es necesaria
165,moto
106,moto
350,vehiculo de carga
483,no es necesaria
596,vehiculo de carga
550,moto
52,auto
464,no es necesaria
291,moto
671,moto
776,moto
671,vehiculo de carga
540,moto
67,no es necesaria
67,auto
539,vehiculo de carga
314,no es necesaria
119,no es necesaria
551,moto
437,moto
555,auto
456,no es necesaria
159,vehiculo de carga
711,moto
268,moto
551,vehiculo de carga
523,vehiculo de carga
707,vehiculo de carga
705,auto
679,no es necesaria
772,auto
102,auto
749,no es necesaria
466,vehiculo de carga
82,no es necesaria
620,no es necesaria
299,no es necesaria
429,auto
125,auto
712,moto
391,moto
165,auto
132,auto
403,moto
377,vehiculo de carga
97,auto
415,auto
646,no es necesaria
393,vehiculo de carga
695,moto
502,moto
389,no es necesaria
136,no es necesaria
797,moto
798,auto
286,moto
72,no es necesaria
610,vehiculo de carga
534,no es necesaria
169,no es necesaria
641,auto
21,moto
323,auto
478,auto
805,auto
716,moto
119,moto
157,moto
476,no es necesaria
621,vehiculo de carga
214,moto
534,moto
466,auto
38,vehiculo de carga
247,auto
39,moto
670,auto
157,vehiculo de carga
18,moto
728,moto
444,no es necesaria
535,no es necesaria
142,moto
693,auto
368,auto
270,vehiculo de carga
37,moto
472,moto
127,moto
141,no es necesaria
772,moto
2,no es necesaria
645,auto
811,auto
178,auto
472,no es necesaria
672,moto
191,moto
205,no es necesaria
579,vehiculo de carga
75,auto
144,moto
26,vehiculo de carga
191,no es necesaria
800,moto
187,vehiculo de carga
596,moto
334,auto
697,auto
605,auto
339,vehiculo de carga
251,no es necesaria
353,moto
